"","relationshipdyad","avoidstaysymmetry","foodshare","coalitions","conflict","grooming","socialforaging","spatialproximity","groom_symmetry","conflict_symmetry","food_share_symmetry"
"1","popeye-anita",-31,5,3,0,10,18,24,2,0,5
"2","popeye-junon",-4,0,0,0,3,10,8,-3,0,0
"3","popeye-kato",NA,0,0,1,5,0,0,5,1,0
"4","popeye-carlos",0,1,0,3,0,2,6,0,3,1
"5","popeye-chico",-5,0,0,7,1,2,6,1,7,0
"6","popeye-manuel",-5,0,0,1,1,5,10,1,1,0
"7","popeye-penny",-46,1,1,2,4,18,41,0,2,1
"8","anita-junon",0,0,2,0,3,1,16,1,0,0
"9","anita-kato",0,0,0,4,4,0,1,4,0,0
"10","anita-carlos",0,0,0,3,3,0,1,3,3,0
"11","anita-chico",-2,0,0,5,3,2,19,3,5,0
"12","anita-manuel",-5,2,1,0,0,4,16,0,0,-2
"13","anita-penny",-20,0,2,1,9,17,35,-1,1,0
"14","junon-kato",0,0,0,2,0,0,1,0,2,0
"15","junon-carlos",-1,0,0,1,0,2,0,0,1,0
"16","junon-chico",-31,1,0,1,1,6,3,1,1,1
"17","junon-manuel",-2,0,0,0,1,1,2,1,0,0
"18","junon-penny",0,0,0,1,3,1,9,-3,-1,0
"19","kato-carlos",0,0,0,0,0,0,0,0,0,0
"20","kato-chico",-1,0,0,0,0,0,12,0,0,0
"21","kato-manuel",NA,0,0,1,0,0,6,0,-1,0
"22","kato-penny",NA,0,0,0,0,0,0,0,0,0
"23","carlos-chico",-10,0,0,0,0,4,31,0,0,0
"24","carlos-manuel",-2,0,0,0,2,6,13,-2,0,0
"25","carlos-penny",0,0,0,1,1,1,1,-1,-1,0
"26","chico-manuel",-2,0,0,0,4,5,27,-4,0,0
"27","chico-penny",-7,0,0,3,1,5,23,-1,-3,0
"28","manuel-penny",-6,0,0,0,1,11,3,-1,0,0
"29","diablo-lana",-7,1,0,0,10,11,28,4,0,1
"30","diablo-toka",NA,0,0,1,0,0,0,0,1,0
"31","diablo-diego",-2,0,0,0,0,3,6,0,0,0
"32","diablo-figo",-6,1,0,5,0,7,9,0,5,1
"33","diablo-micoe",-10,0,0,1,0,13,4,0,1,0
"34","diablo-pedra",NA,0,0,0,0,0,1,0,0,0
"35","diablo-santi",-8,0,0,1,4,1,22,-2,1,0
"36","diablo-sylvie",-2,1,0,0,1,9,24,-1,0,-1
"37","diablo-inti",-14,1,2,0,0,15,14,0,0,1
"38","lana-toka",NA,0,0,0,0,0,0,0,0,0
"39","lana-diego",-2,0,0,0,0,3,10,0,0,0
"40","lana-figo",-3,0,0,4,3,5,18,-1,4,0
"41","lana-micoe",0,0,0,2,2,1,7,0,2,0
"42","lana-pedra",0,0,0,0,0,0,7,0,0,0
"43","lana-santi",-6,3,2,0,22,22,86,-20,0,1
"44","lana-sylvie",NA,0,0,0,11,16,41,2,0,0
"45","lana-inti",-5,0,1,3,2,9,28,2,3,0
"46","toka-diego",0,1,0,0,0,3,0,0,0,-1
"47","toka-figo",0,0,0,0,0,0,1,0,0,0
"48","toka-micoe",NA,0,0,0,0,2,3,0,0,0
"49","toka-pedra",-6,0,0,1,0,0,0,0,-1,0
"50","toka-santi",NA,0,0,0,0,0,1,0,0,0
"51","toka-sylvie",NA,1,0,2,0,0,0,0,-2,-1
"52","toka-inti",NA,0,0,1,0,2,1,0,-1,0
"53","diego-figo",-10,1,0,1,0,6,19,0,1,-1
"54","diego-micoe",-22,0,0,3,0,2,11,0,3,0
"55","diego-pedra",0,0,0,0,0,1,5,0,0,0
"56","diego-santi",-4,0,0,0,0,0,12,0,0,0
"57","diego-sylvie",-3,1,0,0,2,2,5,2,0,-1
"58","diego-inti",-22,0,0,2,1,8,20,1,2,0
"59","figo-micoe",-35,3,0,0,0,6,5,0,0,-1
"60","figo-pedra",-12,2,0,0,0,7,14,0,0,-2
"61","figo-santi",-8,0,0,4,0,2,0,0,0,0
"62","figo-sylvie",-1,0,0,0,0,0,1,0,0,0
"63","figo-inti",-34,0,0,3,0,15,15,0,-1,0
"64","micoe-pedra",-2,0,0,0,0,3,18,0,0,0
"65","micoe-santi",-7,0,0,1,1,2,11,-1,-1,0
"66","micoe-sylvie",-5,1,0,0,2,11,20,-2,0,-1
"67","micoe-inti",-25,1,0,0,0,11,31,0,0,-1
"68","pedra-santi",-1,0,0,0,0,2,3,0,0,0
"69","pedra-sylvie",0,0,1,2,0,12,5,0,-2,0
"70","pedra-inti",-6,0,0,0,0,1,3,0,0,0
"71","santi-sylvie",-1,0,0,0,8,2,22,8,0,0
"72","santi-inti",-4,1,0,0,4,8,31,4,0,-1
"73","sylvie-inti",-1,3,0,0,0,2,12,0,0,1
