Session number ,Date,Individual,Start Pressing,End,Number of OFF,Number of Classical,Number of Pop,Preceeding Condition,First Press,Last Press
1,19-Feb-15,Kilimi,09:20:39,09:20:57,1,0,1,Pop,Pop,Off
1,19-Feb-15,Louis,09:20:57,09:21:08,0,0,0,Pop,n/a,n/a
1,19-Feb-15,Edith,09:21:24,09:21:54,0,0,0,Pop,n/a,n/a
1,19-Feb-15,Pearl,09:21:50,09:22:08,1,0,0,Pop,Off,Off
1,19-Feb-15,Kilimi,09:23:04,09:23:42,1,1,1,Silence,Classical,Off
1,19-Feb-15,Edith,09:23:50,09:24:09,2,0,0,Silence,Off,Off
1,19-Feb-15,Frek,09:24:38,09:25:30,0,0,0,Silence,n/a,n/a
1,19-Feb-15,Sophie,09:25:32,09:25:44,0,0,0,Silence,n/a,n/a
1,19-Feb-15,Edith,09:25:50,09:26:15,0,0,0,Silence,n/a,n/a
1,19-Feb-15,Eva,09:26:34,09:26:44,0,0,0,Silence,n/a,n/a
1,19-Feb-15,Frek,09:27:28,09:27:37,0,0,0,Silence,n/a,n/a
1,19-Feb-15,Edith,09:28:58,09:30:32,3,1,2,Silence,Off,
1,19-Feb-15,Frek,09:31:02,09:31:10,0,0,0,Classical,n/a,n/a
1,19-Feb-15,Edith,09:46:30,09:47:36,2,1,1,Silence,Off,
1,19-Feb-15,Eva,09:57:07,09:57:17,0,0,0,Pop,n/a,n/a
2,20-Feb-15,Pearl,09:20:59,09:21:37,0,0,0,Classical,n/a,n/a
2,20-Feb-15,Eva,09:22:35,09:22:45,0,0,0,Classical,n/a,n/a
2,20-Feb-15,Frek,09:28:07,09:28:19,0,0,0,Classical,n/a,n/a
2,20-Feb-15,Frek,09:36:32,09:37:02,0,0,0,Classical,n/a,n/a
2,20-Feb-15,Frek,09:38:16,09:39:33,0,0,0,Classical,n/a,n/a
2,20-Feb-15,Frek,09:54:46,09:54:54,0,0,0,Classical,n/a,n/a
3,23-Feb-15,Pearl,09:20:05,09:20:11,0,0,0,Pop,n/a,n/a
3,23-Feb-15,Kilimi,09:20:19,09:20:29,0,0,0,Pop,n/a,n/a
3,23-Feb-15,Pearl,09:21:10,09:21:25,0,0,1,Pop,Pop,Pop
3,23-Feb-15,Kilimi,09:26:06,09:26:41,0,0,2,Pop,Pop,Pop
3,23-Feb-15,Edith,09:27:07,09:27:33,1,0,1,Pop,Off,Pop
3,23-Feb-15,Eva,09:30:43,09:30:55,0,0,0,Pop,n/a,n/a
3,23-Feb-15,Eva,09:32:50,09:33:29,0,0,0,Pop,n/a,n/a
3,23-Feb-15,Edith,09:33:33,09:33:54,1,1,0,Pop,Classical,Off
3,23-Feb-15,Frek,09:34:06,09:35:06,0,0,0,Silence,n/a,n/a
3,23-Feb-15,Louis,09:41:13,09:41:21,0,0,0,Silence,n/a,n/a
3,23-Feb-15,Frek,09:55:27,09:55:34,0,0,0,Silence,n/a,n/a
5,26-Feb-15,Emma,09:41:26,09:41:35,0,0,0,Classical,n/a,n/a
5,26-Feb-15,Pearl,09:41:50,09:41:59,0,0,0,Classical,n/a,n/a
5,26-Feb-15,Eva,09:42:07,09:42:22,0,0,2,Classical,Pop,Pop
5,26-Feb-15,edith,09:45:12,09:45:23,0,0,0,Pop,n/a,n/a
5,26-Feb-15,Kilimi,09:45:53,09:46:19,0,0,0,Pop,n/a,n/a
5,26-Feb-15,Frek,09:53:39,09:53:45,0,0,0,Pop,n/a,n/a
5,26-Feb-15,Frek,09:54:14,09:54:58,0,0,0,Pop,n/a,n/a
5,26-Feb-15,Emma,10:15:37,10:16:26,0,0,0,Pop,n/a,n/a
6,27-Feb-15,Pearl,09:22:46,09:23:04,0,0,0,Silence,n/a,n/a
6,27-Feb-15,Frek,09:23:48,09:23:51,0,0,0,Silence,n/a,n/a
6,27-Feb-15,Kilimi,09:28:25,09:28:44,0,0,0,Silence,n/a,n/a
6,27-Feb-15,Kilimi,09:29:49,09:30:17,0,1,1,Silence,Pop,Classical
6,27-Feb-15,eva,09:40:51,09:41:42,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Pearl,08:52:05,08:52:15,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Kilimi,08:53:11,08:53:31,1,1,0,Classical,Off,Classical
7,03-Mar-15,Emma,08:54:09,08:54:26,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Edith,08:55:39,08:55:45,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Frek,08:58:39,09:01:19,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Louis,09:01:44,09:02:00,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Edith,09:04:32,09:04:43,0,1,0,Classical,Classical,Classical
7,03-Mar-15,Liberius,09:13:48,09:13:52,0,0,0,Classical,n/a,n/a
7,03-Mar-15,Cindy,09:35:14,09:36:45,2,1,1,Classical,n/a,Off
7,03-Mar-15,Emma,09:36:18,09:36:45,1,0,0,Silence,n/a,Off
9,06-Mar-15,Emma,08:48:35,08:48:57,0,0,2,Pop,Pop,Pop
9,06-Mar-15,Pearl,08:51:48,08:51:54,0,0,0,Pop,n/a,n/a
9,06-Mar-15,Edith,09:01:28,09:01:42,0,0,1,Pop,Pop,Pop
9,06-Mar-15,Edith,09:02:41,09:02:52,0,0,1,Pop,Pop,pop
9,06-Mar-15,Eva,09:07:07,09:07:29,0,0,0,Pop,n/a,n/a
9,06-Mar-15,Louis,09:15:07,09:15:57,0,0,0,Pop,n/a,n/a
9,06-Mar-15,Liberius,09:39:14,09:39:27,0,0,0,Pop,n/a,n/a
11,07-Apr-15,Frek,08:57:41,08:57:43,0,0,0,Silence,n/a,n/a
11,07-Apr-15,Paul,08:57:54,08:58:03,0,0,0,Silence,n/a,n/a
11,07-Apr-15,Edith,08:58:19,08:58:33,0,0,1,Silence,Pop,Pop
11,07-Apr-15,Edith,08:58:54,08:59:04,0,1,0,Pop,Classical,Classical
11,07-Apr-15,Eva,09:09:16,09:09:28,0,0,0,Classical,n/a,n/a
11,07-Apr-15,Edith,09:11:25,09:11:35,0,1,0,Classical,Classical,Classical
11,07-Apr-15,Rene,09:12:46,09:13:06,0,0,0,Classical,n/a,n/a
12,09-Apr-15,Pearl,09:00:55,09:01:27,0,1,0,Silence,Classical,Classical
12,09-Apr-15,Frek,09:16:10,09:16:43,0,0,0,Classical,n/a,n/a
12,09-Apr-15,Sophie,09:48:10,09:48:21,0,0,0,Classical,n/a,n/a
