"","x"
"1","05/11/1995"
"2","01/01/1955"
"3","1/21/1993"
"4","01/01/1961"
"5","6/26/1989"
"6","6/15/1991"
"7","11/19/1981"
"8","9/17/1971"
"9","01/09/1980"
"10","01/01/1955"
"11","12/18/1990"
"12","5/21/1991"
"13","6/21/1979"
"14","7/24/1976"
"15","08/10/1965"
"16","08/01/1975"
"17","07/10/1974"
"18","03/07/1997"
"19","12/16/1972"
"20","6/14/1976"
"21","05/06/1989"
"22","01/01/1962"
"23","03/05/1977"
"24","7/16/1988"
"25","01/01/1969"
"26","12/14/1971"
"27","11/11/1959"
"28","01/01/1964"
"29","4/26/1985"
"30","1/20/1976"
"31","3/31/1979"
"32","11/10/1992"
"33","01/02/1984"
"34","2/18/1991"
"35","5/21/1986"
"36","3/21/1983"
"37","10/05/1989"
"38","01/01/1957"
"39","01/01/1955"
"40","06/01/1995"
"41","11/28/1976"
"42","12/25/1992"
"43","06/06/1980"
"44","10/10/1977"
"45","01/03/1986"
"46","06/07/1980"
"47","10/01/1989"
"48","6/16/1988"
"49","6/27/1977"
"50","01/01/1961"
"51","04/03/1990"
"52","10/15/1987"
"53","2/25/1994"
"54","02/08/1990"
"55","5/28/1991"
"56","8/14/1972"
"57","10/31/1988"
"58","2/19/1990"
"59","10/20/1973"
"60","09/04/1991"
"61","6/22/1992"
"62","12/05/1994"
"63","01/01/1954"
"64","12/10/1967"
"65","01/01/1959"
"66","10/26/1992"
"67","7/14/1988"
"68","12/10/1953"
"69","01/01/1967"
"70","4/18/1983"
"71","8/27/1980"
"72","5/22/1997"
"73","01/01/1969"
"74","05/08/1969"
"75","01/01/1959"
"76","08/03/1984"
"77","08/01/1962"
"78","10/16/1976"
"79","5/17/1995"
"80","9/21/1987"
"81","01/01/1969"
"82","2/14/1958"
"83","01/01/1963"
"84","2/24/1940"
"85","8/14/1982"
"86","03/09/1992"
"87","1/21/1977"
"88","01/01/1964"
"89","01/10/1993"
"90","11/25/1980"
"91","2/23/1968"
"92","5/15/1998"
"93","8/29/1994"
"94","08/01/1986"
"95","5/13/1986"
"96","7/26/1987"
"97","06/01/1988"
"98","07/08/1990"
"99","4/27/1988"
"100","10/07/1970"
"101","12/29/1983"
"102","2/29/1976"
"103","09/08/1975"
"104","01/01/1970"
"105","01/01/1969"
"106","02/10/1994"
"107","3/19/1994"
"108","08/06/1990"
"109","08/01/1959"
"110","3/22/1993"
"111","07/01/1956"
"112","01/01/1957"
"113","1/14/1990"
"114","8/16/1981"
"115","08/03/1984"
"116","07/08/1989"
"117","01/01/1964"
"118","08/03/1973"
"119","1/13/1971"
"120","07/07/1960"
"121","07/07/1960"
"122","9/18/1984"
"123","02/10/1957"
"124","11/27/1984"
"125","10/30/1982"
"126","6/27/1981"
"127","01/06/1976"
"128","07/08/1993"
"129","04/11/1996"
"130","12/20/1976"
"131","12/19/1987"
"132","11/17/1976"
"133","12/31/1985"
"134","7/14/1993"
"135","01/01/1968"
"136","4/30/1977"
"137","01/01/1966"
"138","2/17/1989"
"139","12/23/1978"
"140","12/17/1987"
"141","11/03/1958"
"142","5/20/1991"
"143","4/20/1989"
"144","01/01/1969"
"145","05/04/1988"
"146","02/11/1994"
"147","8/13/1988"
"148","10/16/1978"
"149","5/19/1982"
"150","8/28/1997"
"151","6/23/1987"
"152","3/16/1992"
"153","12/18/1983"
"154","1/20/1989"
"155","3/19/1972"
"156","01/11/1985"
"157","1/23/1987"
"158","11/01/1959"
"159","01/01/1955"
"160","11/19/1991"
"161","2/17/1985"
"162","2/25/1976"
"163","7/19/1993"
"164","01/01/1967"
"165","2/18/1986"
"166","09/05/1995"
"167","08/02/1989"
"168","7/27/1974"
"169","3/19/1982"
"170","01/01/1965"
"171","5/21/1954"
"172","10/27/1988"
"173","03/09/1994"
"174","01/12/1987"
"175","7/22/1975"
